Date_Opened,Change_Control,Days_Open
2/1,22427,0
2/2,22428,0
2/2,22429,1
2/2,22430,0
2/2,22431,7
2/2,22431,7
2/2,22432,0
2/2,22432,0
2/2,22433,0
2/2,22434,0
2/2,22434,0
2/2,22434,0
2/2,22435,10
3/,22436,6
3/,22436,6
3/,22437,2
3/,22437,2
3/,22437,2
3/,22438,1
3/,22438,1
3/,22438,1
3/,22439,7
3/1,22440,0
3/1,22441,0
3/1,22441,0
3/1,22441,0
3/1,22442,1
3/1,22443,0
3/1,22443,0
3/1,22443,0
3/1,22443,0
3/1,22443,0
3/1,22443,0
3/1,22444,1
3/2,22445,1
3/2,22445,1
3/2,22446,3
3/2,22447,5
3/2,22448,3
3/2,22449,0
3/2,22449,0
3/3,22450,5
3/3,22451,0
3/3,22452,4
3/3,22453,0
3/3,22453,0
3/3,22454,0
3/3,22455,1
4/,22456,1
4/,22456,1
4/,22457,9
4/,22458,0
4/,22458,0
4/,22458,0
4/,22458,0
4/,22459,1
4/,22460,0
4/,22461,0
4/,22461,0
4/,22462,4
4/,22463,0
4/1,22464,0
4/1,22465,1
4/1,22466,0
4/1,22467,0
4/2,22468,1
4/2,22469,77
4/2,22470,77
4/2,22471,1
4/2,22471,2
4/2,22472,0
4/2,22473,0
4/2,22473,0
4/2,22474,3
4/2,22474,3
5/,22475,15
5/,22476,0
5/,22476,0
5/,22476,0
5/,22476,0
5/,22477,1
5/,22478,33
5/,22479,0
5/,22480,0
5/1,22481,0
5/1,22482,7
5/1,22482,7
5/1,22482,7
5/1,22483,0
5/1,22483,0
5/1,22483,0
5/1,22484,0
5/1,22485,0
5/1,22486,0
5/1,22486,0
5/1,22486,0
5/1,22487,1
5/1,22488,5
5/1,22488,5
5/1,22488,5
5/1,22489,5
5/2,22490,0
5/2,22491,1
5/2,22491,1
5/2,22492,0
5/2,22492,0
5/2,22493,6
5/3,22494,2
6/,22495,1
6/,22496,0
6/,22497,0
6/,22498,0
6/,22499,1
6/,22500,1
6/1,22501,0
6/1,22502,0
6/1,22503,1
6/1,22504,0
6/1,22504,0
6/1,22505,0
6/2,22506,1
6/2,22507,0
6/2,22508,1
6/2,22509,2
6/2,22510,3
6/2,22510,3
6/2,22511,2
6/2,22512,1
6/2,22513,0
6/2,22513,0
6/2,22514,0
6/2,22515,1
6/3,22516,5
7/,22517,0
7/,22517,0
7/,22518,5
7/1,22519,0
7/1,22520,2
7/1,22521,0
7/1,22522,0
7/1,22523,0
7/1,22523,0
7/1,22524,4
7/1,22525,17
7/1,22526,0
7/1,22526,0
7/1,22526,0
7/2,22527,1
7/2,22528,0
7/2,22529,0
7/2,22529,0
7/2,22529,0
7/2,22529,0
7/2,22530,0
7/2,22531,1
7/2,22532,3
7/2,22533,3
8/,22534,1
8/1,22535,0
8/1,22536,0
8/1,22537,3
8/1,22537,3
8/2,22538,4
8/1,22539,0
8/1,22539,0
8/1,22539,0
8/1,22539,0
8/1,22539,0
8/2,22540,1
8/2,22541,1
8/2,22542,12
8/2,22543,1
8/2,22544,1
8/2,22544,1
8/2,22545,1
8/3,22546,1
8/3,22546,1
9/,22547,1
9/,22548,0
9/,22549,3
9/,22550,1
9/,22550,1
9/,22551,4
9/1,22552,0
9/1,22553,1
9/1,22553,1
9/1,22554,1
9/1,22554,1
9/1,22555,0
9/1,22556,1
9/1,22557,1
9/1,22557,1
9/1,22558,0
9/1,22559,3
9/1,22560,3
9/2,22561,0
9/2,22562,1
9/2,22562,1
9/2,22563,0
9/2,22563,0
9/2,22563,0
9/2,22564,1
9/2,22565,0
9/2,22566,1
9/2,22566,1
9/2,22566,1
9/2,22567,0
10/,22568,0
10/,22569,0
10/,22569,0
10/,22569,0
10/,22570,0
10/,22571,1
10/1,22572,0
10/1,22572,0
10/1,22572,0
10/1,22573,1
10/1,22574,1
10/1,22574,1
10/1,22575,2
10/1,22576,2
10/1,22577,1
10/1,22578,1
10/2,22579,0
10/2,22580,0
10/2,22580,0
10/3,22581,1
11/,22582,4
11/,22583,5
11/,22584,1
11/,22585,1
11/,22586,1
11/,22587,2
11/,22587,2
11/,22588,2
11/,22589,2
11/,22590,8
11/1,22591,0
11/1,22592,0
11/1,22593,0
11/1,22594,0
11/1,22595,5
11/1,22595,5
11/2,22596,10
11/2,22596,10
11/2,22597,1
11/2,22598,2
11/2,22598,2
11/2,22599,1
11/2,22600,0
12/,22601,1
12/,22602,1
12/,22603,2
12/,22603,2
12/,22604,1
12/,22605,5
12/,22606,4
12/1,22607,2
12/1,22608,2
12/1,22608,2
12/1,22608,2
12/1,22608,2
12/1,22609,0
12/1,22609,0
12/1,22609,0
12/1,22609,0
12/1,22609,0
12/1,22610,0
12/1,22611,3
12/2,22612,0
12/2,22613,6
12/2,22614,1
12/2,22615,1
12/2,22616,1
12/2,22617,0
12/2,22618,0
12/2,22618,0
1/,23619,4
1/,23619,4
1/,23619,4
1/,23620,4
1/,23620,4
1/,23620,4
1/,23621,1
1/,23621,1
1/,23622,173
1/,23623,11
1/1,23624,0
1/1,23625,1
1/1,23626,5
1/1,23627,5
1/1,23628,2
1/1,23629,4
1/1,23630,6
1/1,23631,1
1/1,23632,1
1/1,23632,1
1/1,23633,1
1/1,23634,1
1/1,23635,0
1/1,23636,1
1/2,23001,0
1/2,23002,1
1/2,23003,1
1/2,23004,1
1/2,23004,1
1/2,23005,1
